organization_name,industry,size,region,energy_use_level,emissions_maturity,certifications,disclosure_level,goals,certifications_str,goals_str,target_stage,target_framework_slug,target_score
Synthetic Org #181,financial,250-1000,na,low,none,"['iso-45001', 'iso-50001', 'iso-14064']",partial,"['renewables', 'sbti', 'sdg']","iso-45001,iso-50001,iso-14064","renewables,sbti,sdg",measure,ghg-protocol,97
Synthetic Org #182,agriculture,250-1000,uk,low,advanced,"['iso-14064', 'iso-50001']",partial,[],"iso-14064,iso-50001",,report,tcfd,73
Synthetic Org #183,energy,1000-5000,na,moderate,none,"['iso-14064', 'iso-14001']",none,['net-zero'],"iso-14064,iso-14001",net-zero,measure,ghg-protocol,99
Synthetic Org #184,construction,250-1000,na,very-high,advanced,"['iso-50001', 'iso-45001']",none,"['sdg', 'stakeholder-trust']","iso-50001,iso-45001","sdg,stakeholder-trust",manage,iso-14001,90
Synthetic Org #185,agriculture,1-50,india,moderate,advanced,['iso-45001'],partial,['sbti'],iso-45001,sbti,improve,sbti,97
Synthetic Org #186,energy,1-50,apac,moderate,basic,['iso-14001'],full,['sdg'],iso-14001,sdg,measure,ghg-protocol,85
Synthetic Org #187,agriculture,50-250,india,high,advanced,[],partial,[],,,report,brsr,87
Synthetic Org #188,chemicals,1-50,uk,moderate,advanced,[],partial,['sdg'],,sdg,manage,iso-14001,85
Synthetic Org #189,energy,5000+,india,high,basic,"['iso-50001', 'iso-14064', 'iso-14001']",none,[],"iso-50001,iso-14064,iso-14001",,measure,ghg-protocol,92
Synthetic Org #190,construction,50-250,eu,very-high,none,"['iso-45001', 'iso-50001']",partial,"['sbti', 'net-zero', 'renewables']","iso-45001,iso-50001","sbti,net-zero,renewables",measure,ghg-protocol,97
Synthetic Org #191,transport,1000-5000,apac,very-high,advanced,['iso-14001'],partial,['sdg'],iso-14001,sdg,manage,iso-50001,84
Synthetic Org #192,energy,1000-5000,uk,high,none,"['iso-50001', 'iso-14001', 'iso-14064']",full,"['net-zero', 'stakeholder-trust', 'sdg']","iso-50001,iso-14001,iso-14064","net-zero,stakeholder-trust,sdg",measure,ghg-protocol,95
Synthetic Org #193,chemicals,250-1000,eu,moderate,basic,[],full,['stakeholder-trust'],,stakeholder-trust,report,csrd,96
Synthetic Org #194,transport,1-50,na,moderate,advanced,['iso-50001'],full,['stakeholder-trust'],iso-50001,stakeholder-trust,manage,iso-14001,79
Synthetic Org #195,financial,1-50,india,moderate,advanced,[],full,['stakeholder-trust'],,stakeholder-trust,report,brsr,86
Synthetic Org #196,healthcare,250-1000,latam,low,none,[],none,"['sdg', 'sbti', 'stakeholder-trust']",,"sdg,sbti,stakeholder-trust",measure,ghg-protocol,95
Synthetic Org #197,consumer-goods,5000+,apac,low,basic,"['iso-45001', 'iso-14064']",full,['renewables'],"iso-45001,iso-14064",renewables,measure,ghg-protocol,87
Synthetic Org #198,construction,1000-5000,na,very-high,none,[],full,['renewables'],,renewables,measure,ghg-protocol,91
Synthetic Org #199,consumer-goods,1000-5000,uk,moderate,basic,[],full,['sdg'],,sdg,measure,ghg-protocol,90
Synthetic Org #200,technology,1000-5000,eu,high,advanced,[],full,['sbti'],,sbti,report,csrd,99
Synthetic Org #201,agriculture,1-50,na,very-high,none,[],none,[],,,measure,ghg-protocol,99
Synthetic Org #202,transport,1000-5000,latam,very-high,none,['iso-45001'],none,['sbti'],iso-45001,sbti,measure,ghg-protocol,98
Synthetic Org #203,agriculture,5000+,uk,very-high,basic,[],partial,[],,,measure,ghg-protocol,89
Synthetic Org #204,consumer-goods,5000+,uk,moderate,none,['iso-14001'],full,[],iso-14001,,measure,ghg-protocol,97
Synthetic Org #205,transport,1000-5000,india,very-high,basic,[],full,[],,,manage,iso-14001,93
Synthetic Org #206,consumer-goods,50-250,na,high,basic,[],partial,"['net-zero', 'sbti']",,"net-zero,sbti",improve,sbti,98
Synthetic Org #207,technology,5000+,na,low,basic,['iso-45001'],full,"['stakeholder-trust', 'net-zero', 'renewables']",iso-45001,"stakeholder-trust,net-zero,renewables",improve,sbti,99
Synthetic Org #208,energy,1000-5000,na,high,advanced,[],partial,['stakeholder-trust'],,stakeholder-trust,manage,iso-14001,97
Synthetic Org #209,financial,1000-5000,india,low,none,[],none,['renewables'],,renewables,measure,ghg-protocol,91
Synthetic Org #210,financial,1000-5000,eu,moderate,basic,['iso-50001'],full,"['stakeholder-trust', 'sdg']",iso-50001,"stakeholder-trust,sdg",report,csrd,93
Synthetic Org #211,healthcare,250-1000,india,very-high,advanced,['iso-14064'],full,[],iso-14064,,report,brsr,90
Synthetic Org #212,technology,250-1000,apac,low,basic,['iso-14001'],full,"['renewables', 'sdg', 'stakeholder-trust']",iso-14001,"renewables,sdg,stakeholder-trust",measure,ghg-protocol,86
Synthetic Org #213,healthcare,5000+,eu,low,advanced,[],partial,"['stakeholder-trust', 'renewables', 'net-zero']",,"stakeholder-trust,renewables,net-zero",improve,sbti,95
Synthetic Org #214,construction,1-50,india,low,none,['iso-45001'],none,"['sbti', 'renewables']",iso-45001,"sbti,renewables",measure,ghg-protocol,95
Synthetic Org #215,construction,1000-5000,india,very-high,advanced,[],full,['stakeholder-trust'],,stakeholder-trust,report,brsr,90
Synthetic Org #216,construction,5000+,na,very-high,advanced,['iso-50001'],partial,"['stakeholder-trust', 'sdg']",iso-50001,"stakeholder-trust,sdg",manage,iso-14001,91
Synthetic Org #217,financial,250-1000,apac,high,advanced,[],partial,['sdg'],,sdg,improve,renewable-energy-plan,76
Synthetic Org #218,financial,250-1000,eu,high,basic,[],full,"['sdg', 'renewables']",,"sdg,renewables",report,csrd,91
Synthetic Org #219,technology,5000+,latam,high,basic,"['iso-14064', 'iso-50001']",none,['sbti'],"iso-14064,iso-50001",sbti,improve,sbti,98
Synthetic Org #220,transport,1-50,na,low,basic,"['iso-45001', 'iso-14064', 'iso-50001']",partial,['sbti'],"iso-45001,iso-14064,iso-50001",sbti,improve,sbti,92
Synthetic Org #221,financial,250-1000,india,high,none,"['iso-50001', 'iso-14001']",none,[],"iso-50001,iso-14001",,measure,ghg-protocol,99
Synthetic Org #222,financial,50-250,apac,moderate,none,['iso-45001'],none,"['net-zero', 'sbti']",iso-45001,"net-zero,sbti",measure,ghg-protocol,96
Synthetic Org #223,manufacturing,5000+,eu,very-high,advanced,['iso-50001'],partial,['sdg'],iso-50001,sdg,report,csrd,93
Synthetic Org #224,transport,1-50,latam,low,advanced,[],full,"['net-zero', 'sbti', 'renewables']",,"net-zero,sbti,renewables",improve,sbti,99
Synthetic Org #225,chemicals,1-50,latam,very-high,basic,"['iso-45001', 'iso-14001', 'iso-14064']",none,['stakeholder-trust'],"iso-45001,iso-14001,iso-14064",stakeholder-trust,measure,ghg-protocol,85
Synthetic Org #226,healthcare,1-50,na,high,basic,"['iso-14064', 'iso-14001']",full,"['renewables', 'sdg', 'net-zero']","iso-14064,iso-14001","renewables,sdg,net-zero",improve,sbti,93
Synthetic Org #227,energy,250-1000,eu,very-high,advanced,"['iso-50001', 'iso-14001', 'iso-14064']",partial,['stakeholder-trust'],"iso-50001,iso-14001,iso-14064",stakeholder-trust,report,csrd,98
Synthetic Org #228,construction,50-250,india,very-high,basic,['iso-14001'],full,"['net-zero', 'sbti']",iso-14001,"net-zero,sbti",improve,sbti,92
Synthetic Org #229,chemicals,1000-5000,na,moderate,none,['iso-50001'],partial,"['sdg', 'stakeholder-trust']",iso-50001,"sdg,stakeholder-trust",measure,ghg-protocol,98
Synthetic Org #230,transport,5000+,apac,low,basic,['iso-50001'],full,[],iso-50001,,manage,iso-14001,95
Synthetic Org #231,energy,1000-5000,na,moderate,basic,"['iso-45001', 'iso-14064']",full,[],"iso-45001,iso-14064",,measure,ghg-protocol,92
Synthetic Org #232,transport,250-1000,india,moderate,none,['iso-50001'],none,"['stakeholder-trust', 'sdg']",iso-50001,"stakeholder-trust,sdg",measure,ghg-protocol,95
Synthetic Org #233,consumer-goods,5000+,uk,moderate,none,"['iso-14001', 'iso-45001']",full,"['stakeholder-trust', 'sdg']","iso-14001,iso-45001","stakeholder-trust,sdg",measure,ghg-protocol,96
Synthetic Org #234,energy,5000+,global,low,advanced,[],full,"['stakeholder-trust', 'sbti', 'net-zero']",,"stakeholder-trust,sbti,net-zero",improve,sbti,92
Synthetic Org #235,technology,5000+,uk,low,advanced,"['iso-14064', 'iso-14001', 'iso-50001']",none,[],"iso-14064,iso-14001,iso-50001",,report,issb,83
Synthetic Org #236,agriculture,50-250,india,very-high,basic,[],full,"['renewables', 'sdg', 'stakeholder-trust']",,"renewables,sdg,stakeholder-trust",measure,ghg-protocol,90
Synthetic Org #237,manufacturing,1000-5000,na,low,advanced,"['iso-14001', 'iso-14064']",none,"['sdg', 'net-zero']","iso-14001,iso-14064","sdg,net-zero",improve,sbti,95
Synthetic Org #238,financial,1-50,global,very-high,none,['iso-50001'],partial,['renewables'],iso-50001,renewables,measure,ghg-protocol,95
Synthetic Org #239,technology,1000-5000,uk,very-high,basic,"['iso-50001', 'iso-45001', 'iso-14064']",none,[],"iso-50001,iso-45001,iso-14064",,measure,ghg-protocol,89
Synthetic Org #240,chemicals,5000+,uk,moderate,advanced,[],none,[],,,manage,iso-14001,89
Synthetic Org #241,transport,1000-5000,apac,very-high,advanced,[],partial,['renewables'],,renewables,manage,iso-14001,89
Synthetic Org #242,technology,50-250,na,moderate,advanced,[],none,"['stakeholder-trust', 'net-zero']",,"stakeholder-trust,net-zero",improve,sbti,94
Synthetic Org #243,construction,50-250,global,low,advanced,['iso-14001'],none,['net-zero'],iso-14001,net-zero,improve,sbti,94
Synthetic Org #244,consumer-goods,1000-5000,eu,moderate,none,"['iso-45001', 'iso-14001']",none,"['sdg', 'stakeholder-trust', 'net-zero']","iso-45001,iso-14001","sdg,stakeholder-trust,net-zero",measure,ghg-protocol,98
Synthetic Org #245,transport,50-250,apac,moderate,basic,['iso-14001'],partial,"['stakeholder-trust', 'sbti', 'sdg']",iso-14001,"stakeholder-trust,sbti,sdg",improve,sbti,94
Synthetic Org #246,consumer-goods,5000+,uk,low,basic,"['iso-14064', 'iso-45001', 'iso-50001']",full,"['renewables', 'sbti']","iso-14064,iso-45001,iso-50001","renewables,sbti",improve,sbti,97
Synthetic Org #247,transport,1000-5000,eu,very-high,none,['iso-50001'],none,"['net-zero', 'renewables']",iso-50001,"net-zero,renewables",manage,iso-14001,95
Synthetic Org #248,consumer-goods,5000+,india,moderate,basic,['iso-50001'],none,['net-zero'],iso-50001,net-zero,report,brsr,96
Synthetic Org #249,agriculture,250-1000,global,moderate,none,['iso-14001'],partial,[],iso-14001,,measure,ghg-protocol,93
Synthetic Org #250,construction,5000+,apac,moderate,basic,['iso-45001'],none,[],iso-45001,,manage,iso-14001,92
Synthetic Org #251,construction,50-250,apac,low,advanced,[],partial,"['sbti', 'renewables', 'net-zero']",,"sbti,renewables,net-zero",improve,sbti,91
Synthetic Org #252,financial,250-1000,latam,high,basic,"['iso-45001', 'iso-50001']",partial,['sdg'],"iso-45001,iso-50001",sdg,measure,ghg-protocol,88
Synthetic Org #253,financial,1000-5000,uk,low,advanced,['iso-50001'],partial,['sdg'],iso-50001,sdg,report,issb,80
Synthetic Org #254,consumer-goods,1-50,india,moderate,advanced,[],none,['stakeholder-trust'],,stakeholder-trust,report,brsr,91
Synthetic Org #255,healthcare,5000+,apac,very-high,basic,[],none,['sbti'],,sbti,improve,sbti,93
Synthetic Org #256,consumer-goods,5000+,latam,moderate,basic,"['iso-45001', 'iso-50001', 'iso-14064']",full,"['renewables', 'sbti']","iso-45001,iso-50001,iso-14064","renewables,sbti",improve,sbti,94
Synthetic Org #257,technology,50-250,eu,very-high,none,"['iso-14001', 'iso-45001', 'iso-14064']",full,[],"iso-14001,iso-45001,iso-14064",,measure,ghg-protocol,96
Synthetic Org #258,manufacturing,1-50,uk,moderate,advanced,[],none,['net-zero'],,net-zero,improve,sbti,95
Synthetic Org #259,construction,5000+,uk,high,none,"['iso-14064', 'iso-45001', 'iso-50001']",full,[],"iso-14064,iso-45001,iso-50001",,measure,ghg-protocol,96
Synthetic Org #260,manufacturing,5000+,india,very-high,none,"['iso-45001', 'iso-14064']",none,['net-zero'],"iso-45001,iso-14064",net-zero,measure,ghg-protocol,96
Synthetic Org #261,financial,1000-5000,latam,moderate,none,"['iso-50001', 'iso-14001']",none,['stakeholder-trust'],"iso-50001,iso-14001",stakeholder-trust,measure,ghg-protocol,90
Synthetic Org #262,financial,250-1000,latam,high,basic,[],partial,['renewables'],,renewables,measure,ghg-protocol,87
Synthetic Org #263,agriculture,5000+,eu,moderate,basic,[],full,[],,,report,csrd,93
Synthetic Org #264,energy,1000-5000,uk,very-high,advanced,[],partial,[],,,manage,iso-14001,88
Synthetic Org #265,chemicals,1-50,uk,very-high,advanced,"['iso-14001', 'iso-45001']",partial,[],"iso-14001,iso-45001",,manage,iso-50001,86
Synthetic Org #266,construction,50-250,latam,very-high,basic,[],none,['stakeholder-trust'],,stakeholder-trust,measure,ghg-protocol,90
Synthetic Org #267,healthcare,1-50,eu,high,none,"['iso-50001', 'iso-45001']",none,"['net-zero', 'sdg']","iso-50001,iso-45001","net-zero,sdg",measure,ghg-protocol,93
Synthetic Org #268,chemicals,5000+,eu,very-high,advanced,['iso-14064'],full,['net-zero'],iso-14064,net-zero,report,csrd,98
Synthetic Org #269,financial,250-1000,global,low,basic,[],none,['stakeholder-trust'],,stakeholder-trust,measure,ghg-protocol,87
Synthetic Org #270,healthcare,5000+,uk,high,none,['iso-14064'],full,"['sbti', 'sdg']",iso-14064,"sbti,sdg",measure,ghg-protocol,98
Synthetic Org #271,financial,1000-5000,uk,moderate,advanced,"['iso-14064', 'iso-14001', 'iso-50001']",full,['net-zero'],"iso-14064,iso-14001,iso-50001",net-zero,improve,sbti,96
Synthetic Org #272,energy,250-1000,eu,very-high,advanced,[],full,"['sdg', 'stakeholder-trust']",,"sdg,stakeholder-trust",report,csrd,90
Synthetic Org #273,energy,1-50,global,high,basic,['iso-14001'],partial,['net-zero'],iso-14001,net-zero,improve,sbti,92
Synthetic Org #274,chemicals,1000-5000,uk,very-high,none,[],none,['stakeholder-trust'],,stakeholder-trust,measure,ghg-protocol,94
Synthetic Org #275,energy,5000+,india,high,basic,['iso-14064'],none,"['net-zero', 'sbti']",iso-14064,"net-zero,sbti",improve,sbti,91
Synthetic Org #276,healthcare,5000+,eu,very-high,none,['iso-45001'],none,['renewables'],iso-45001,renewables,measure,ghg-protocol,97
Synthetic Org #277,chemicals,1-50,eu,very-high,basic,['iso-14064'],partial,[],iso-14064,,report,csrd,89
Synthetic Org #278,technology,250-1000,eu,very-high,advanced,[],full,"['net-zero', 'sbti']",,"net-zero,sbti",improve,sbti,88
Synthetic Org #279,transport,1-50,uk,high,advanced,['iso-14064'],partial,['renewables'],iso-14064,renewables,manage,iso-50001,88
Synthetic Org #280,healthcare,50-250,na,high,advanced,[],full,"['sdg', 'sbti']",,"sdg,sbti",improve,sbti,93
Synthetic Org #281,consumer-goods,250-1000,na,very-high,advanced,['iso-14064'],none,['renewables'],iso-14064,renewables,improve,renewable-energy-plan,81
Synthetic Org #282,technology,1-50,india,moderate,advanced,[],full,"['net-zero', 'renewables', 'sdg']",,"net-zero,renewables,sdg",improve,sbti,96
Synthetic Org #283,construction,1000-5000,latam,high,advanced,['iso-14064'],none,['sdg'],iso-14064,sdg,manage,iso-14001,89
Synthetic Org #284,construction,250-1000,apac,moderate,advanced,['iso-14001'],partial,"['stakeholder-trust', 'renewables']",iso-14001,"stakeholder-trust,renewables",report,tcfd,73
Synthetic Org #285,healthcare,1000-5000,india,very-high,advanced,['iso-14001'],none,[],iso-14001,,report,brsr,87
Synthetic Org #286,construction,250-1000,eu,low,advanced,"['iso-14064', 'iso-50001', 'iso-45001']",full,[],"iso-14064,iso-50001,iso-45001",,report,csrd,96
Synthetic Org #287,manufacturing,1-50,na,moderate,advanced,"['iso-50001', 'iso-14064']",full,['renewables'],"iso-50001,iso-14064",renewables,manage,iso-14001,81
Synthetic Org #288,agriculture,5000+,apac,moderate,basic,['iso-14001'],none,['renewables'],iso-14001,renewables,measure,ghg-protocol,88
Synthetic Org #289,energy,1-50,latam,moderate,basic,['iso-14064'],partial,['stakeholder-trust'],iso-14064,stakeholder-trust,manage,iso-14001,87
Synthetic Org #290,agriculture,250-1000,uk,low,basic,"['iso-14064', 'iso-50001', 'iso-14001']",full,['net-zero'],"iso-14064,iso-50001,iso-14001",net-zero,improve,sbti,96
Synthetic Org #291,energy,1-50,latam,high,advanced,"['iso-50001', 'iso-45001', 'iso-14001']",none,"['sbti', 'stakeholder-trust', 'renewables']","iso-50001,iso-45001,iso-14001","sbti,stakeholder-trust,renewables",improve,sbti,94
Synthetic Org #292,financial,1000-5000,uk,moderate,basic,[],full,['renewables'],,renewables,measure,ghg-protocol,86
Synthetic Org #293,consumer-goods,1-50,apac,moderate,basic,['iso-14064'],full,[],iso-14064,,measure,ghg-protocol,85
Synthetic Org #294,construction,50-250,na,low,advanced,"['iso-50001', 'iso-14064']",none,['sbti'],"iso-50001,iso-14064",sbti,improve,sbti,91
Synthetic Org #295,agriculture,1-50,na,very-high,advanced,['iso-14064'],full,"['renewables', 'net-zero', 'sbti']",iso-14064,"renewables,net-zero,sbti",improve,sbti,99
Synthetic Org #296,technology,1000-5000,india,moderate,advanced,['iso-14001'],full,['sdg'],iso-14001,sdg,report,brsr,90
Synthetic Org #297,energy,50-250,na,low,none,"['iso-50001', 'iso-45001', 'iso-14064']",partial,"['stakeholder-trust', 'sbti']","iso-50001,iso-45001,iso-14064","stakeholder-trust,sbti",measure,ghg-protocol,98
Synthetic Org #298,healthcare,1000-5000,uk,moderate,basic,"['iso-50001', 'iso-45001']",full,['renewables'],"iso-50001,iso-45001",renewables,measure,ghg-protocol,89
Synthetic Org #299,transport,50-250,eu,high,basic,[],full,['net-zero'],,net-zero,improve,sbti,95
Synthetic Org #300,agriculture,50-250,eu,very-high,advanced,"['iso-14064', 'iso-50001', 'iso-45001']",full,"['renewables', 'stakeholder-trust']","iso-14064,iso-50001,iso-45001","renewables,stakeholder-trust",report,csrd,92
Synthetic Org #301,chemicals,1-50,india,low,none,[],partial,['sbti'],,sbti,improve,sbti,96
Synthetic Org #302,financial,250-1000,eu,very-high,advanced,['iso-14001'],full,"['net-zero', 'sdg', 'renewables']",iso-14001,"net-zero,sdg,renewables",improve,sbti,97
Synthetic Org #303,technology,5000+,latam,low,advanced,"['iso-50001', 'iso-14064']",partial,[],"iso-50001,iso-14064",,report,issb,80
Synthetic Org #304,construction,250-1000,latam,low,basic,['iso-14001'],partial,"['net-zero', 'sbti']",iso-14001,"net-zero,sbti",measure,ghg-protocol,96
Synthetic Org #305,construction,5000+,apac,high,advanced,"['iso-14064', 'iso-14001', 'iso-45001']",full,['sbti'],"iso-14064,iso-14001,iso-45001",sbti,improve,sbti,90
Synthetic Org #306,manufacturing,5000+,na,high,advanced,[],full,['sdg'],,sdg,manage,iso-14001,94
Synthetic Org #307,transport,5000+,na,low,none,[],partial,['sbti'],,sbti,measure,ghg-protocol,98
Synthetic Org #308,chemicals,50-250,eu,high,none,['iso-14064'],full,['stakeholder-trust'],iso-14064,stakeholder-trust,report,csrd,97
Synthetic Org #309,transport,1000-5000,uk,very-high,none,[],full,"['stakeholder-trust', 'sdg']",,"stakeholder-trust,sdg",measure,ghg-protocol,89
Synthetic Org #310,technology,1000-5000,uk,high,advanced,"['iso-14001', 'iso-45001', 'iso-50001']",none,['net-zero'],"iso-14001,iso-45001,iso-50001",net-zero,improve,sbti,93
Synthetic Org #311,financial,1000-5000,eu,very-high,none,['iso-45001'],partial,['sdg'],iso-45001,sdg,measure,ghg-protocol,97
Synthetic Org #312,financial,5000+,eu,very-high,basic,[],full,[],,,report,csrd,94
Synthetic Org #313,energy,1000-5000,global,low,none,['iso-14001'],partial,"['sbti', 'stakeholder-trust']",iso-14001,"sbti,stakeholder-trust",improve,sbti,96
Synthetic Org #314,transport,50-250,latam,high,none,['iso-45001'],full,[],iso-45001,,measure,ghg-protocol,98
Synthetic Org #315,technology,50-250,global,very-high,advanced,"['iso-50001', 'iso-14064', 'iso-14001']",partial,[],"iso-50001,iso-14064,iso-14001",,improve,renewable-energy-plan,77
Synthetic Org #316,manufacturing,50-250,uk,low,none,[],full,"['renewables', 'net-zero', 'stakeholder-trust']",,"renewables,net-zero,stakeholder-trust",improve,sbti,95
Synthetic Org #317,technology,1-50,latam,very-high,advanced,['iso-14001'],none,['renewables'],iso-14001,renewables,improve,renewable-energy-plan,75
Synthetic Org #318,energy,1-50,global,high,basic,[],partial,"['sbti', 'stakeholder-trust']",,"sbti,stakeholder-trust",improve,sbti,97
Synthetic Org #319,energy,5000+,india,low,advanced,[],full,"['sdg', 'sbti']",,"sdg,sbti",improve,sbti,97
Synthetic Org #320,chemicals,1000-5000,india,very-high,none,[],none,['net-zero'],,net-zero,improve,sbti,99
Synthetic Org #321,healthcare,1000-5000,na,very-high,basic,[],none,['net-zero'],,net-zero,improve,sbti,95
Synthetic Org #322,construction,5000+,india,high,advanced,"['iso-45001', 'iso-14001', 'iso-14064']",none,"['sdg', 'net-zero']","iso-45001,iso-14001,iso-14064","sdg,net-zero",improve,sbti,96
Synthetic Org #323,construction,1000-5000,uk,low,none,"['iso-14001', 'iso-45001', 'iso-14064']",partial,['sdg'],"iso-14001,iso-45001,iso-14064",sdg,measure,ghg-protocol,96
Synthetic Org #324,chemicals,1000-5000,latam,very-high,basic,"['iso-50001', 'iso-14064', 'iso-14001']",full,[],"iso-50001,iso-14064,iso-14001",,report,issb,87
Synthetic Org #325,healthcare,1-50,global,high,none,[],none,"['stakeholder-trust', 'sdg']",,"stakeholder-trust,sdg",measure,ghg-protocol,97
Synthetic Org #326,financial,1000-5000,uk,very-high,none,"['iso-50001', 'iso-14064']",full,[],"iso-50001,iso-14064",,measure,ghg-protocol,98
Synthetic Org #327,transport,1-50,india,moderate,none,['iso-14064'],full,"['net-zero', 'sdg', 'renewables']",iso-14064,"net-zero,sdg,renewables",improve,sbti,96
Synthetic Org #328,consumer-goods,50-250,global,moderate,none,[],partial,"['stakeholder-trust', 'net-zero']",,"stakeholder-trust,net-zero",measure,ghg-protocol,99
Synthetic Org #329,transport,50-250,global,low,advanced,"['iso-14001', 'iso-14064', 'iso-50001']",none,['stakeholder-trust'],"iso-14001,iso-14064,iso-50001",stakeholder-trust,measure,ghg-protocol,68
Synthetic Org #330,financial,250-1000,eu,high,none,['iso-14001'],full,[],iso-14001,,measure,ghg-protocol,94
Synthetic Org #331,technology,1000-5000,na,low,basic,"['iso-14001', 'iso-50001']",full,"['stakeholder-trust', 'sdg']","iso-14001,iso-50001","stakeholder-trust,sdg",measure,ghg-protocol,90
Synthetic Org #332,manufacturing,1000-5000,latam,moderate,basic,['iso-14001'],none,"['net-zero', 'sbti', 'sdg']",iso-14001,"net-zero,sbti,sdg",improve,sbti,92
Synthetic Org #333,financial,1-50,global,low,none,['iso-45001'],none,"['sbti', 'stakeholder-trust']",iso-45001,"sbti,stakeholder-trust",measure,ghg-protocol,95
Synthetic Org #334,manufacturing,5000+,latam,very-high,none,[],partial,"['sdg', 'stakeholder-trust']",,"sdg,stakeholder-trust",measure,ghg-protocol,95
Synthetic Org #335,energy,5000+,na,low,advanced,[],full,['sbti'],,sbti,manage,iso-14001,90
Synthetic Org #336,financial,1-50,uk,low,basic,['iso-45001'],partial,[],iso-45001,,measure,ghg-protocol,85
Synthetic Org #337,financial,1000-5000,global,high,none,"['iso-45001', 'iso-14064']",partial,"['sbti', 'renewables', 'stakeholder-trust']","iso-45001,iso-14064","sbti,renewables,stakeholder-trust",measure,ghg-protocol,94
Synthetic Org #338,healthcare,1000-5000,latam,moderate,advanced,[],full,['net-zero'],,net-zero,improve,sbti,91
Synthetic Org #339,consumer-goods,1-50,eu,high,advanced,[],full,['net-zero'],,net-zero,improve,sbti,94
Synthetic Org #340,consumer-goods,250-1000,global,moderate,advanced,['iso-14064'],none,[],iso-14064,,report,tcfd,70
Synthetic Org #341,chemicals,250-1000,global,low,none,['iso-45001'],full,"['net-zero', 'stakeholder-trust']",iso-45001,"net-zero,stakeholder-trust",improve,sbti,99
Synthetic Org #342,financial,50-250,apac,very-high,none,"['iso-14001', 'iso-50001']",full,['sbti'],"iso-14001,iso-50001",sbti,measure,ghg-protocol,95
Synthetic Org #343,transport,250-1000,latam,high,basic,"['iso-45001', 'iso-50001', 'iso-14064']",full,['sbti'],"iso-45001,iso-50001,iso-14064",sbti,measure,ghg-protocol,93
Synthetic Org #344,energy,50-250,eu,low,none,[],none,"['renewables', 'sdg']",,"renewables,sdg",measure,ghg-protocol,99
Synthetic Org #345,consumer-goods,1-50,india,high,none,['iso-14064'],partial,['net-zero'],iso-14064,net-zero,improve,sbti,96
Synthetic Org #346,energy,50-250,latam,high,advanced,"['iso-14001', 'iso-14064']",full,['sbti'],"iso-14001,iso-14064",sbti,improve,sbti,98
Synthetic Org #347,energy,50-250,na,very-high,advanced,"['iso-45001', 'iso-50001', 'iso-14001']",none,[],"iso-45001,iso-50001,iso-14001",,improve,renewable-energy-plan,77
Synthetic Org #348,consumer-goods,1000-5000,india,moderate,none,[],partial,['net-zero'],,net-zero,improve,sbti,94
Synthetic Org #349,manufacturing,1-50,latam,moderate,none,['iso-45001'],none,[],iso-45001,,measure,ghg-protocol,94
Synthetic Org #350,healthcare,5000+,na,low,none,[],none,"['sbti', 'net-zero']",,"sbti,net-zero",improve,sbti,95
Synthetic Org #351,technology,1-50,global,very-high,none,"['iso-14064', 'iso-45001']",none,"['renewables', 'net-zero']","iso-14064,iso-45001","renewables,net-zero",measure,ghg-protocol,99
Synthetic Org #352,consumer-goods,1000-5000,eu,high,none,['iso-45001'],none,"['sbti', 'net-zero']",iso-45001,"sbti,net-zero",report,csrd,97
Synthetic Org #353,healthcare,5000+,india,moderate,advanced,['iso-14064'],partial,"['renewables', 'net-zero', 'stakeholder-trust']",iso-14064,"renewables,net-zero,stakeholder-trust",improve,sbti,96
Synthetic Org #354,transport,1000-5000,eu,very-high,none,"['iso-50001', 'iso-45001']",full,"['net-zero', 'renewables', 'sdg']","iso-50001,iso-45001","net-zero,renewables,sdg",measure,ghg-protocol,96
Synthetic Org #355,technology,1000-5000,india,very-high,basic,"['iso-45001', 'iso-50001']",full,['sbti'],"iso-45001,iso-50001",sbti,report,brsr,98
Synthetic Org #356,manufacturing,250-1000,india,moderate,none,[],partial,"['stakeholder-trust', 'sdg']",,"stakeholder-trust,sdg",measure,ghg-protocol,96
Synthetic Org #357,healthcare,50-250,eu,low,none,[],full,['stakeholder-trust'],,stakeholder-trust,measure,ghg-protocol,98
Synthetic Org #358,manufacturing,50-250,india,very-high,basic,[],none,['stakeholder-trust'],,stakeholder-trust,report,brsr,95
Synthetic Org #359,technology,250-1000,india,low,advanced,['iso-50001'],full,"['sbti', 'renewables', 'sdg']",iso-50001,"sbti,renewables,sdg",improve,sbti,95
Synthetic Org #360,transport,50-250,uk,low,none,[],none,"['sbti', 'net-zero', 'sdg']",,"sbti,net-zero,sdg",measure,ghg-protocol,97
Synthetic Org #361,agriculture,1-50,na,moderate,none,"['iso-50001', 'iso-14064', 'iso-14001']",partial,[],"iso-50001,iso-14064,iso-14001",,measure,ghg-protocol,92
Synthetic Org #362,chemicals,5000+,apac,moderate,none,['iso-14001'],full,['renewables'],iso-14001,renewables,measure,ghg-protocol,98
Synthetic Org #363,healthcare,1-50,na,high,basic,[],none,"['renewables', 'sdg']",,"renewables,sdg",measure,ghg-protocol,88
Synthetic Org #364,chemicals,5000+,apac,high,none,"['iso-50001', 'iso-14064']",full,['sdg'],"iso-50001,iso-14064",sdg,measure,ghg-protocol,99
